股票代码,股票名称,收盘价,第一波涨幅(%),今日涨幅(%),调整量/上涨量,市值(亿),是否波谷
600726.SH,华电能源,8.08,116.91,2.54,0.46,5540000.00,否
300939.SZ,秋田微,71.32,87.27,2.15,0.52,579000.00,否
688008.SH,澜起科技,280.05,73.91,3.76,0.56,30200000.00,否
002185.SZ,华天科技,20.44,67.76,4.23,0.45,5000000.00,否
300042.SZ,朗科科技,73.72,50.91,4.79,0.37,1450000.00,否
603005.SH,晶方科技,46.53,46.08,1.79,0.53,2180000.00,否
688981.SH,中芯国际,145.59,44.62,3.48,0.48,95210000.00,否
300041.SZ,回天新材,15.25,40.48,5.17,0.47,689000.00,否
601699.SH,潞安环能,17.06,39.96,2.03,0.49,4550000.00,否
300274.SZ,阳光电源,163.46,38.84,11.21,0.51,32630000.00,否
300328.SZ,宜安科技,19.29,34.88,2.77,0.57,1330000.00,否
002407.SZ,多氟多,42.66,33.81,10.01,0.54,4430000.00,是
688411.SH,海博思创,286.98,33.74,2.13,0.46,4650000.00,否
002317.SZ,众生药业,22.12,33.62,-3.41,0.28,2000000.00,是
002617.SZ,露笑科技,9.58,31.41,6.44,0.51,1800000.00,否
001301.SZ,尚太科技,93.38,31.33,5.28,0.38,2090000.00,否
601609.SH,金田股份,12.72,30.91,-2.15,0.54,2340000.00,是
300236.SZ,上海新阳,109.11,27.51,3.13,0.55,3240000.00,否
601678.SH,滨化股份,6.38,25.20,8.87,0.44,1270000.00,否
603867.SH,新化股份,41.08,23.28,5.06,0.58,861000.00,否
000783.SZ,长江证券,8.60,22.97,9.97,0.33,4650000.00,否
300265.SZ,通光线缆,24.60,21.70,2.54,0.46,1060000.00,否
601689.SH,拓普集团,60.19,21.69,-3.39,0.55,12380000.00,是
688187.SH,时代电气,60.46,20.38,3.00,0.55,7390000.00,否
688692.SH,达梦数据,268.14,19.27,-1.16,0.50,3050000.00,是
002050.SZ,三花智控,45.23,18.12,-1.11,0.44,22020000.00,是
300327.SZ,中颖电子,31.16,16.41,8.19,0.50,956000.00,否
600111.SH,北方稀土,54.15,15.35,5.35,0.49,18170000.00,是
002821.SZ,凯莱英,125.81,15.07,1.61,0.40,4250000.00,否
