股票代码,股票名称,行业,总市值(亿),是否原股票
301238.SZ,瑞泰新材,电力设备,-,是
300274.SZ,阳光电源,电力设备,3263.00,否
600406.SH,国电南瑞,电力设备,2166.00,否
002028.SZ,思源电气,电力设备,1526.00,否
605117.SH,德业股份,电力设备,1433.00,否
300014.SZ,亿纬锂能,电力设备,1424.00,否
002272.SZ,川润股份,其他通用设备,-,是
002444.SZ,巨星科技,其他通用设备,410.00,否
688433.SH,华曙高科,其他通用设备,391.00,否
300257.SZ,开山股份,其他通用设备,328.00,否
920186.SZ,中科仪,其他通用设备,260.00,否
300503.SZ,昊志机电,其他通用设备,243.00,否
603738.SH,泰晶科技,被动元件,-,是
300408.SZ,三环集团,被动元件,1850.00,否
002484.SZ,江海股份,被动元件,499.00,否
000636.SZ,风华高科,被动元件,375.00,否
600563.SH,法拉电子,被动元件,332.00,否
002138.SZ,顺络电子,被动元件,321.00,否
300623.SZ,捷捷微电,分立器件,-,是
688498.SH,源杰科技,分立器件,1330.00,否
688172.SH,燕东微,分立器件,761.00,否
688048.SH,长光华芯,分立器件,708.00,否
600460.SH,士兰微,分立器件,538.00,否
300373.SZ,扬杰科技,分立器件,433.00,否
300196.SZ,长海股份,玻纤制造,-,是
600176.SH,中国巨石,玻纤制造,1397.00,否
603256.SH,宏和科技,玻纤制造,1241.00,否
002080.SZ,中材科技,玻纤制造,1079.00,否
301526.SZ,国际复材,玻纤制造,705.00,否
601112.SH,振石股份,玻纤制造,341.00,否
300054.SZ,鼎龙股份,电子化学品Ⅱ,-,是
300054.SZ,鼎龙股份,电子化学品Ⅱ,730.00,否
688019.SH,安集科技,电子化学品Ⅱ,532.00,否
688548.SH,广钢气体,电子化学品Ⅱ,459.00,否
300285.SZ,国瓷材料,电子化学品Ⅱ,438.00,否
300346.SZ,南大光电,电子化学品Ⅱ,400.00,否
301629.SZ,矽电股份,半导体设备,-,是
002371.SZ,北方华创,半导体设备,4492.00,否
688012.SH,中微公司,半导体设备,3015.00,否
688072.SH,拓荆科技,半导体设备,1569.00,否
300604.SZ,长川科技,半导体设备,1421.00,否
688120.SH,华海清科,半导体设备,982.00,否
600888.SH,XD新疆众,有色金属,-,是
002379.SZ,宏桥控股,有色金属,2708.00,否
601600.SH,中国铝业,有色金属,1836.00,否
603799.SH,XD华友钴,有色金属,1093.00,否
000807.SZ,云铝股份,有色金属,1041.00,否
002532.SZ,天山铝业,有色金属,706.00,否
002371.SZ,北方华创,半导体设备,-,是
002371.SZ,北方华创,半导体设备,4492.00,否
688012.SH,中微公司,半导体设备,3015.00,否
688072.SH,拓荆科技,半导体设备,1569.00,否
300604.SZ,长川科技,半导体设备,1421.00,否
688120.SH,华海清科,半导体设备,982.00,否
688102.SH,斯瑞新材,有色金属,-,是
002379.SZ,宏桥控股,有色金属,2708.00,否
601600.SH,中国铝业,有色金属,1836.00,否
603799.SH,XD华友钴,有色金属,1093.00,否
000807.SZ,云铝股份,有色金属,1041.00,否
002532.SZ,天山铝业,有色金属,706.00,否
601133.SH,柏诚股份,建筑装饰,-,是
601668.SH,中国建筑,建筑装饰,2021.00,否
601868.SH,中国能建,建筑装饰,1411.00,否
601390.SH,中国中铁,建筑装饰,1217.00,否
601800.SH,中国交建,建筑装饰,1076.00,否
601669.SH,中国电建,建筑装饰,1001.00,否
002171.SZ,楚江新材,铜,-,是
601899.SH,紫金矿业,铜,8286.00,否
603993.SH,洛阳钼业,铜,3889.00,否
600362.SH,江西铜业,铜,1528.00,否
000630.SZ,铜陵有色,铜,807.00,否
601168.SH,西部矿业,铜,721.00,否
300821.SZ,东岳硅材,有机硅,-,是
603260.SH,合盛硅业,有机硅,490.00,否
300821.SZ,东岳硅材,有机硅,182.00,否
603281.SH,江瀚新材,有机硅,138.00,否
300019.SZ,硅宝科技,有机硅,69.70,否
300041.SZ,回天新材,有机硅,68.90,否
