股票代码,股票名称,涨幅
301292.SZ,海科新源,20.00%
300444.SZ,双杰电气,20.00%
300265.SZ,通光线缆,13.10%
300191.SZ,潜能恒信,11.31%
688353.SH,华盛锂电,11.09%
301291.SZ,明阳电气,11.06%
688275.SH,万润新能,10.97%
688676.SH,金盘科技,10.91%
600219.SH,南山铝业,10.11%
601678.SH,滨化股份,10.09%
002498.SZ,汉缆股份,10.06%
002539.SZ,云图控股,10.04%
600409.SH,三友化工,10.03%
002173.SZ,创新医疗,10.03%
000155.SZ,川能动力,10.03%
001208.SZ,华菱线缆,10.02%
000035.SZ,中国天楹,10.02%
002240.SZ,盛新锂能,10.02%
000603.SZ,盛达资源,10.01%
600343.SH,航天动力,10.01%
600389.SH,江山股份,10.01%
603876.SH,鼎胜新材,10.01%
600550.SH,保变电气,10.01%
000688.SZ,国城矿业,10.01%
002379.SZ,宏桥控股,10.01%
605117.SH,德业股份,10.00%
601606.SH,长城军工,10.00%
600268.SH,国电南自,10.00%
601061.SH,中信金属,10.00%
001337.SZ,四川黄金,10.00%
603026.SH,石大胜华,10.00%
002353.SZ,杰瑞股份,10.00%
601179.SH,中国西电,9.99%
600396.SH,华电辽能,9.99%
000815.SZ,美利云,9.98%
603619.SH,中曼石油,9.98%
603680.SH,今创集团,9.98%
300049.SZ,福瑞医科,9.95%
600611.SH,大众交通,9.95%
300001.SZ,特锐德,9.88%
300438.SZ,鹏辉能源,9.79%
