股票代码,股票名称,总市值(亿),爆量日期,爆量倍数,涨幅(%),爆量金额(万元)
001696.SZ,宗申动力,188.00,20260610,3.80,8.55,345.66
603002.SH,宏昌电子,180.00,20260610,3.69,10.01,361.22
300435.SZ,中泰股份,82.40,20260610,3.43,6.59,51.39
000920.SZ,沃顿科技,52.60,20260610,3.34,6.47,55.12
603929.SH,亚翔集成,390.00,20260610,3.13,7.90,398.12
002669.SZ,康达新材,41.90,20260610,3.01,10.01,142.30
300656.SZ,民德电子,53.70,20260610,2.98,8.66,80.76
688227.SH,品高股份,112.00,20260610,2.93,14.84,115.27
688530.SH,欧莱新材,92.70,20260610,2.86,13.35,83.95
301630.SZ,同宇新材,104.00,20260610,2.84,8.25,126.53
003043.SZ,华亚智能,84.60,20260610,2.59,10.00,108.42
300671.SZ,富满微,113.00,20260610,2.52,8.01,124.89
300411.SZ,金盾股份,40.70,20260610,2.51,10.20,64.27
