序,代码,名称,最新,涨幅,涨跌,成交量,现量,买一价,卖一价,涨速,换手,成交额,市盈率,所属行业,最高,最低,开盘,昨收,振幅,量比,委比,委差,均价,内盘,外盘,内外比,买一量,卖一量,市净率,总股本,总市值,流通股本,流通市值,3日涨幅,6日涨幅,3日换手,6日换手
1,'000725,京东方Ａ,4.31,2.38%,0.1,880万手,9.88万手,4.31,4.32,0.00%,2.42%,37.4亿,23.38 ①,面板,4.32,4.17,4.2,4.21,3.56%,1.16,-50.51%,-44.9万手,4.25,331万手,549万手,0.6,4.70万手,20.1万手,1.17,370亿,1597亿元,363亿,1566亿元,2.13%,2.86%,6.99%,12.86%
2,'300058,蓝色光标,18.6,3.91%,0.7,503万手,4.68万手,18.6,18.61,0.05%,14.45%,93.3亿,132.38 ①,营销代理,19,17.53,17.73,17.9,8.21%,1.19,-33.95%,-1.98万手,18.56,231万手,272万手,0.85,6344手,6560手,8.38,35.9亿,668亿元,34.8亿,647亿元,7.20%,-1.74%,36.10%,75.36%
3,'300248,新开普,10.38,1.57%,0.16,21.1万手,2038手,10.37,10.38,0.19%,5.17%,2.17亿,亏损 ①,计算机,10.42,10.04,10.15,10.22,3.72%,1.92,-25.47%,-1707手,10.28,10.7万手,10.4万手,1.03,966手,579手,2.3,4.76亿,49.4亿元,4.09亿,42.5亿元,7.23%,2.57%,12.72%,18.60%
4,'000333,美的集团,81,-2.21%,-1.83,33.6万手,5324手,80.96,81,0.16%,0.49%,27.3亿,12.16 ①,家用电器,82.84,80.5,82.83,82.83,2.83%,0.89,-93.75%,-779手,81.17,18.4万手,15.2万手,1.21,3手,481手,2.65,76.1亿,6164亿元,68.6亿,5555亿元,-0.99%,0.41%,1.66%,3.23%
5,'300442,润泽科技,98.33,-1.07%,-1.06,66.2万手,7223手,98.32,98.33,0.03%,4.06%,64.7亿,69.00 ①,通信应用增值服务,100.98,95.7,100.9,99.39,5.31%,0.67,94.96%,3555手,97.76,34.4万手,31.8万手,1.08,660手,15手,11.25,16.3亿,1607亿元,16.3亿,1604亿元,-1.34%,0.43%,17.08%,34.15%
6,'301213,观想科技,74.18,0.45%,0.33,1.19万手,142手,74.18,74.19,0.00%,2.29%,8753万,212.39 ①,国防军工,74.61,72.81,74.61,73.85,2.44%,0.7,-17.39%,-32手,73.81,5961手,5896手,1.01,5手,1手,7.38,8000万,59.3亿元,5171万,38.4亿元,1.80%,-3.42%,8.06%,18.75%
7,'000988,华工科技,158.4,7.48%,11.02,142万手,1.05万手,158.4,158.41,-0.01%,14.16%,218亿,62.37 ①,自动化设备,159.69,147.28,151.06,147.38,8.42%,1.6,56.28%,1690手,153.27,69.6万手,72.7万手,0.96,2100手,449手,13.63,10.1亿,1593亿元,10.0亿,1592亿元,15.28%,7.35%,29.71%,58.29%
8,'301210,金杨精密,43.5,-1.23%,-0.54,3.66万手,269手,43.49,43.5,0.21%,8.42%,1.59亿,48.94 ①,电力设备,44.17,42.95,43.7,44.04,2.77%,1.06,-60.59%,-123手,43.34,2.10万手,1.55万手,1.35,5手,119手,2.65,1.15亿,49.9亿元,4346万,18.9亿元,5.20%,2.23%,29.30%,48.21%
9,'300785,值得买,55.74,4.01%,2.15,18.1万手,2345手,55.74,55.75,0.00%,14.83%,10.1亿,774.89 ①,门户网站,56.18,52.6,53.06,53.59,6.68%,1.47,45.49%,424手,55.54,7.90万手,10.2万手,0.77,491手,46手,5.64,1.99亿,111亿元,1.22亿,68.2亿元,9.10%,-0.59%,34.32%,65.19%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,'603118,共进股份,15.52,-0.70%,-0.11,69.1万手,7663手,15.52,15.53,0.06%,8.78%,10.5亿,124.93 ①,通信设备,15.61,14.88,15.43,15.63,4.67%,0.73,19.14%,1358手,15.22,36.4万手,32.7万手,1.12,287手,898手,2.41,7.87亿,122亿元,7.87亿,122亿元,-12.32%,-2.63%,35.62%,68.76%
45,'300322,硕贝德,33.54,-0.33%,-0.11,43.4万手,6432手,33.53,33.54,-0.03%,9.85%,14.5亿,369.89 ①,消费电子,34.62,32.41,33.5,33.65,6.57%,0.84,-21.90%,-471手,33.31,22.9万手,20.5万手,1.11,279手,717手,15.16,4.60亿,154亿元,4.40亿,148亿元,2.82%,0.12%,35.07%,68.42%
46,'300184,力源信息,15.12,2.93%,0.43,116万手,1.85万手,15.11,15.12,0.13%,11.01%,17.3亿,31.68 ①,其他电子Ⅲ,15.14,14.48,14.95,14.69,4.49%,1.25,-2.08%,-476手,14.92,56.0万手,60.1万手,0.93,1539手,3222手,4.13,11.5亿,174亿元,10.5亿,159亿元,3.85%,0.67%,29.36%,54.96%
47,'301358,湖南裕能,90.84,-2.51%,-2.34,26.4万手,2254手,90.83,90.84,0.02%,3.47%,23.8亿,14.12 ①,电力设备,93.35,88.78,92.8,93.18,4.90%,0.82,-11.62%,-131手,90.48,13.8万手,12.5万手,1.11,54手,355手,3.63,8.43亿,766亿元,7.60亿,690亿元,-3.72%,-7.64%,11.40%,24.74%
48,'002281,光迅科技,230.89,10.00%,20.99,83.6万手,1521手,230.89,--,0.00%,10.72%,180亿,194.07 ①,通信设备,230.89,203.01,209.5,209.9,13.28%,1.03,100.00%,1.65万手,215.51,39.2万手,44.4万手,0.88,1.63万手,0手,18.01,8.07亿,1863亿元,7.79亿,1800亿元,13.29%,16.15%,31.03%,62.79%
49,'300342,天银机电,56.41,-3.08%,-1.79,33.7万手,4111手,56.41,56.43,0.16%,8.05%,19.1亿,582.67 ①,家用电器,58.8,55.7,58.8,58.2,5.33%,0.73,84.48%,1110手,56.54,15.9万手,17.8万手,0.89,11手,24手,15.3,4.25亿,240亿元,4.19亿,236亿元,-4.21%,-13.32%,24.79%,62.90%
50,'300604,长川科技,224.05,7.11%,14.88,39.0万手,2583手,224.05,224.06,0.00%,7.97%,84.2亿,100.80 ①,半导体设备,227.68,203.15,208.49,209.17,11.73%,1.07,36.31%,310手,216.01,17.7万手,21.3万手,0.83,519手,13手,27.91,6.34亿,1421亿元,4.89亿,1097亿元,7.27%,2.58%,22.74%,45.23%
