股票代码,股票名称,10日累计换手率(%),10日涨幅(%)
002396.SZ,星网锐捷,265.68,18.87
000938.SZ,紫光股份,186.75,33.55
002156.SZ,通富微电,172.38,14.16
603118.SH,共进股份,132.68,13.71
000977.SZ,浪潮信息,128.16,15.73
002317.SZ,众生药业,111.16,7.05
300204.SZ,舒泰神,109.22,5.56
300458.SZ,全志科技,108.28,4.9
603127.SH,昭衍新药,106.04,26.81
600396.SH,华电辽能,103.51,27.09
300209.SZ,行云科技,98.88,10.38
002115.SZ,三维通信,98.17,16.68
002432.SZ,九安医疗,92.56,36.96
300759.SZ,康龙化成,84.93,31.18
300139.SZ,晓程科技,84.6,5.36
688333.SH,铂力特,84.23,2.88
603893.SH,瑞芯微,80.43,13.3
